pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,zero_baseline_mae_m,improvement_vs_zero_mae_m
8,metric_raw,1040000,0.01366025390625,0.01890724605528208,0.07466043846168896,0.0008813839089411955,0.029096399431925442,0.045679279841450114,0.5239865481482725,0.0713471662181009,0.01366025390625,-0.005246992149032081
8,metric_bias_corrected,1040000,0.01366025390625,0.01890724722605485,0.0746604382332837,0.0008813839729015643,0.02909644306708193,0.045679384595152826,0.5239403939470864,0.0713471662181009,0.01366025390625,-0.005246993319804851
8,metric_scale_shift,1040000,0.01366025390625,0.027072260431142955,0.09283928855566886,0.0015820490085161649,0.027570726444662016,0.03530923553004333,0.5185613315906625,0.0713471662181009,0.01366025390625,-0.013412006524892956
8,relative_scale_shift,1040000,0.01366025390625,0.014810892288501446,0.0735601571141845,0.00017566106686225304,0.1605961623441883,0.13287580285848652,0.5576770170959358,0.0713471662181009,0.01366025390625,-0.0011506383822514465
8,zero_baseline,1040000,0.01366025390625,0.01366025390625,0.0713477090993903,0.00027832782451923076,nan,nan,0.0,0.0713471662181009,0.01366025390625,0.0
16,metric_raw,1040000,0.024608856670673078,0.03265401705503464,0.10638859773959636,0.0017386952235148502,0.060297108188598667,0.059482521272373565,0.5241455158327739,0.09975544760588656,0.024608856670673078,-0.008045160384361559
16,metric_bias_corrected,1040000,0.024608856670673078,0.03265401708988043,0.10638859773095728,0.0017386973188473628,0.06029711700432031,0.05948257513359387,0.5241344067847717,0.09975544760588656,0.024608856670673078,-0.008045160419207352
16,metric_scale_shift,1040000,0.024608856670673078,0.04760311091221296,0.14837225279605154,0.0031458877939444323,0.05091405686452177,0.046399318031600106,0.5189480683746035,0.09975544760588656,0.024608856670673078,-0.022994254241539884
16,relative_scale_shift,1040000,0.024608856670673078,0.025727020174723406,0.10263883737256183,0.00024871382254820605,0.1674901746877943,0.15703899387172562,0.5573520473181964,0.09975544760588656,0.024608856670673078,-0.0011181635040503277
16,zero_baseline,1040000,0.024608856670673078,0.024608856670673078,0.09975678342630165,0.0005162484975961538,nan,nan,0.0,0.09975544760588656,0.024608856670673078,0.0
32,metric_raw,1040000,0.04065565655048077,0.0532587004345197,0.1509596706512155,0.003834741790019549,0.08467163531010426,0.08333838287164695,0.5287358489041402,0.13757456757606987,0.04065565655048077,-0.012603043884038927
32,metric_bias_corrected,1040000,0.04065565655048077,0.053258700664226825,0.15095967076022757,0.0038347418528336744,0.08467163532720749,0.08333834653550361,0.5287304618583691,0.13757456757606987,0.04065565655048077,-0.012603044113746055
32,metric_scale_shift,1040000,0.04065565655048077,0.07977478667130837,0.2345984179985816,0.006817986502097203,0.07510861477584521,0.06222799419781412,0.5211252999911113,0.13757456757606987,0.04065565655048077,-0.0391191301208276
32,relative_scale_shift,1040000,0.04065565655048077,0.0408736209163299,0.13555062518319363,0.0007493576829250042,0.2749471050186592,0.19238599711653548,0.5635294307778086,0.13757456757606987,0.04065565655048077,-0.00021796436584912982
32,zero_baseline,1040000,0.04065565655048077,0.04065565655048077,0.13757871175527642,0.001067841045673077,nan,nan,0.0,0.13757456757606987,0.04065565655048077,0.0
64,metric_raw,1040000,0.061217360276442305,0.0811052946297022,0.20372356508368064,0.007300177595707087,0.12263115488448725,0.11819488793240786,0.5390546118712541,0.17330568213066794,0.061217360276442305,-0.019887934353259897
64,metric_bias_corrected,1040000,0.061217360276442305,0.08110529409005092,0.20372356466511587,0.007300177300893344,0.12263115533709083,0.1181949012321205,0.5390521700804937,0.17330568213066794,0.061217360276442305,-0.019887933813608615
64,metric_scale_shift,1040000,0.061217360276442305,0.12759539161828848,0.36418589805276497,0.0125526820567938,0.10960523322679776,0.08985912294993947,0.5277540042316234,0.17330568213066794,0.061217360276442305,-0.06637803134184617
64,relative_scale_shift,1040000,0.061217360276442305,0.05971737022308203,0.1628635357798097,0.0014239616843370292,0.38558115874087834,0.23899415859988288,0.5753884583876123,0.17330568213066794,0.061217360276442305,0.0014999900533602742
64,zero_baseline,1040000,0.061217360276442305,0.061217360276442305,0.17332107047242634,0.0023095477764423075,nan,nan,0.0,0.17330568213066794,0.061217360276442305,0.0
128,metric_raw,1040000,0.0860708759014423,0.11932302174568177,0.27574219873212585,0.01428007109944637,0.15450713580198955,0.14190145398376366,0.5478866613839861,0.22337281578339402,0.0860708759014423,-0.03325214584423947
128,metric_bias_corrected,1040000,0.0860708759014423,0.11932302118448111,0.2757421988169625,0.014280072137025687,0.15450713339182945,0.14190145147891356,0.5478832360147885,0.22337281578339402,0.0860708759014423,-0.03325214528303881
128,metric_scale_shift,1040000,0.0860708759014423,0.19913421144485474,0.5331556576320483,0.024446263548044057,0.1433202667995342,0.112716500145398,0.5353977652891354,0.22337281578339402,0.0860708759014423,-0.11306333554341244
128,relative_scale_shift,1040000,0.0860708759014423,0.0836012773486284,0.20607083986263358,0.002129087922206292,0.43741718791886747,0.28287194018424516,0.5865339602520159,0.22337281578339402,0.0860708759014423,0.0024695985528138953
128,zero_baseline,1040000,0.0860708759014423,0.0860708759014423,0.22340597053989034,0.0038487454927884617,nan,nan,0.0,0.22337281578339402,0.0860708759014423,0.0
