pixel_separation,gt_magnitude_lower_m,gt_magnitude_upper_m,gt_magnitude_bin,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
8,0.0,0.02,0.00-0.02 m,metric_raw,901211,0.004469472187978176,0.010185703518200412,0.02078830836025036,0.0005749409842560013,0.009163726008622043,0.01844661267808444,0.5118979264459532,0.007680178629165983
8,0.0,0.02,0.00-0.02 m,metric_bias_corrected,901211,0.004469472187978176,0.010185704519800194,0.020788308624415393,0.0005749405371604835,0.009163760748488133,0.0184467174258648,0.5118476118316295,0.007680178629165983
8,0.0,0.02,0.00-0.02 m,metric_scale_shift,901211,0.004469472187978176,0.016732558934299258,0.043262702231335035,0.0010566953206571556,0.00605903825262334,0.014413000066828887,0.5100510841319545,0.007680178629165983
8,0.0,0.02,0.00-0.02 m,relative_scale_shift,901211,0.004469472187978176,0.006397386037874706,0.030023470374742584,2.9538357458546575e-06,0.015157974909610804,0.050590938958599,0.5230944079745704,0.007680178629165983
8,0.02,0.05,0.02-0.05 m,metric_raw,96967,0.032239060711376034,0.03543646303121587,0.04912158558956658,0.001684108665069209,0.03815443293697945,0.08817882629346005,0.5440098177730568,0.03280578061698123
8,0.02,0.05,0.02-0.05 m,metric_bias_corrected,96967,0.032239060711376034,0.035436463790972705,0.04912159037920924,0.0016841118639159447,0.038154561235351825,0.08817922686941729,0.5439788794125837,0.03280578061698123
8,0.02,0.05,0.02-0.05 m,metric_scale_shift,96967,0.032239060711376034,0.05565553616949767,0.10826777647641658,0.0034769593981503937,0.03180073025207563,0.06981261978121377,0.5324491837429228,0.03280578061698123
8,0.02,0.05,0.02-0.05 m,relative_scale_shift,96967,0.032239060711376034,0.03120337793739943,0.03864168549483209,0.0003555477872133287,0.1453856112695038,0.27542378878950385,0.614621469159611,0.03280578061698123
8,0.05,0.1,0.05-0.10 m,metric_raw,24420,0.07105823863636364,0.07362573308890027,0.09127055391246415,0.005280788915260809,0.05525916779344749,0.11433467346046328,0.5603603603603604,0.07215918182471112
8,0.05,0.1,0.05-0.10 m,metric_bias_corrected,24420,0.07105823863636364,0.07362574000128169,0.0912705622524454,0.0052807968039672755,0.05525913087185979,0.11433496623117513,0.5602784602784603,0.07215918182471112
8,0.05,0.1,0.05-0.10 m,metric_scale_shift,24420,0.07105823863636364,0.09701668507344013,0.20026999758140573,0.008310227233986694,0.04993586892502448,0.09724605705100955,0.5505323505323505,0.07215918182471112
8,0.05,0.1,0.05-0.10 m,relative_scale_shift,24420,0.07105823863636364,0.06570779517671302,0.0705824201065862,0.0029177022116971154,0.2572813708069777,0.396867353388078,0.678009828009828,0.07215918182471112
8,0.1,0.2,0.10-0.20 m,metric_raw,9042,0.1409662892612254,0.13908712789037275,0.14801280105421086,0.008386839308904298,0.08639719588909144,0.16834982677752988,0.5863746958637469,0.14327807587881375
8,0.1,0.2,0.10-0.20 m,metric_bias_corrected,9042,0.1409662892612254,0.13908713392862254,0.1480128092169375,0.008386843026778624,0.08639711217247567,0.16835176641754993,0.5863746958637469,0.14327807587881375
8,0.1,0.2,0.10-0.20 m,metric_scale_shift,9042,0.1409662892612254,0.1473371213159053,0.1975714085599938,0.009488014540981334,0.0650918156067662,0.12295885343762969,0.5564034505640345,0.14327807587881375
8,0.1,0.2,0.10-0.20 m,relative_scale_shift,9042,0.1409662892612254,0.13158346440670263,0.13698007121915357,0.007175665359480195,0.304107741924462,0.43144115705793556,0.7163238221632382,0.14327807587881375
8,0.2,0.5,0.20-0.50 m,metric_raw,6049,0.30374855347991403,0.2996072909874963,0.31088961929955966,0.0175069578227218,0.12812584256728585,0.20569591761690498,0.6025789386675483,0.3129154259662228
8,0.2,0.5,0.20-0.50 m,metric_bias_corrected,6049,0.30374855347991403,0.29960729788504153,0.31088963097360056,0.01750696282836894,0.12812550780162593,0.2056999561770833,0.6025789386675483,0.3129154259662228
8,0.2,0.5,0.20-0.50 m,metric_scale_shift,6049,0.30374855347991403,0.30068187773533156,0.3214228516635298,0.01832573345661715,0.07995231594030906,0.12640739664946724,0.5531492808728715,0.3129154259662228
8,0.2,0.5,0.20-0.50 m,relative_scale_shift,6049,0.30374855347991403,0.2854969892093496,0.2970294069012311,0.013756401382373136,0.3715907036161829,0.5371271633507404,0.7682261530831542,0.3129154259662228
8,0.5,1.0,0.50-1.00 m,metric_raw,1789,0.6604379192286194,0.6512962181918643,0.6660551343694222,-0.008861901841395523,0.15797781654801693,0.2234945215638338,0.6198993851313583,0.672730870953691
8,0.5,1.0,0.50-1.00 m,metric_bias_corrected,1789,0.6604379192286194,0.6512962243222471,0.666055136994254,-0.008861913835622532,0.15797782887020065,0.2234989383457327,0.6198993851313583,0.672730870953691
8,0.5,1.0,0.50-1.00 m,metric_scale_shift,1789,0.6604379192286194,0.6459225856638141,0.6741359250325737,-0.0006420024618081636,0.11916451031708307,0.20375565768773599,0.6025712688652879,0.672730870953691
8,0.5,1.0,0.50-1.00 m,relative_scale_shift,1789,0.6604379192286194,0.6266365355123282,0.6435594548355889,-0.014270217942418567,0.38224013999991524,0.5520769439000582,0.786472889882616,0.672730870953691
8,1.0,inf,1.00+ m,metric_raw,522,1.9613864942528736,1.9441392403452789,2.5498449805319328,-0.11425890959085633,0.10347208970892709,0.18202991540480276,0.60727969348659,2.556116199226659
8,1.0,inf,1.00+ m,metric_bias_corrected,522,1.9613864942528736,1.9441391736611553,2.549844905332226,-0.11425905483435854,0.10347284841210819,0.1820302567516515,0.60727969348659,2.556116199226659
8,1.0,inf,1.00+ m,metric_scale_shift,522,1.9613864942528736,1.9216176595724406,2.5409081717575015,-0.0815229799555636,0.11364650658372571,0.17759576640353852,0.60727969348659,2.556116199226659
8,1.0,inf,1.00+ m,relative_scale_shift,522,1.9613864942528736,1.8579487928485505,2.4386906383057907,-0.0924648051060936,0.3065688407256311,0.49425875780303913,0.7624521072796935,2.556116199226659
16,0.0,0.02,0.00-0.02 m,metric_raw,788646,0.006020742354617915,0.015391205973032684,0.030814923406925283,0.001098972644363756,0.004363255637335946,0.008722725022319728,0.5047140296174653,0.00908169630991801
16,0.0,0.02,0.00-0.02 m,metric_bias_corrected,788646,0.006020742354617915,0.015391205730274693,0.03081492318912787,0.0010989747790015874,0.004363277170824465,0.00872286246021893,0.5047008287504323,0.00908169630991801
