pixel_separation,variant,threshold_m,pairs,ratio_mean,ratio_median,ratio_p25,ratio_p75
8,metric_raw,0.05,41822,0.03477494510618711,0.016779763357979913,-0.059142814887748967,0.11156681605747767
8,metric_bias_corrected,0.05,41822,0.03477491073327822,0.016780308314732144,-0.05913492838541667,0.111572265625
8,metric_scale_shift,0.05,41822,0.09259855241514914,0.0034877232142857145,-0.1229336646295363,0.26687469482421877
8,relative_scale_shift,0.05,41822,0.08984685359478178,0.019484812859135576,-0.0023600260416666665,0.10485284978693182
16,metric_raw,0.05,96041,0.06283338846506266,0.03195020887586805,-0.09373779296875,0.18533833821614584
16,metric_bias_corrected,0.05,96041,0.06283339590770526,0.03194851345486111,-0.09373256138392858,0.185333251953125
16,metric_scale_shift,0.05,96041,0.1461714534993694,0.005723741319444444,-0.15888671875,0.3888753255208333
16,relative_scale_shift,0.05,96041,0.12858198311669436,0.0289306640625,-0.004425048828125,0.153961181640625
32,metric_raw,0.05,171156,0.09099613484102395,0.05299034118652344,-0.13478142874581472,0.272857666015625
32,metric_bias_corrected,0.05,171156,0.09099609457417673,0.05298614501953125,-0.13478425261262175,0.27284726991758246
32,metric_scale_shift,0.05,171156,0.2258645489734525,0.007080078125,-0.1596015610908189,0.4923610477657108
32,relative_scale_shift,0.05,171156,0.1580157511946115,0.0383062744140625,-0.005629221598307292,0.2197299533420139
64,metric_raw,0.05,254004,0.1357178513188221,0.08449392607717802,-0.18198699951171873,0.39006598336356024
64,metric_bias_corrected,0.05,254004,0.13571784520867392,0.08449300130208333,-0.1819859822591146,0.39006205967494423
64,metric_scale_shift,0.05,254004,0.3356892798915281,0.010396672391343391,-0.12972764845018264,0.6380556168094758
64,relative_scale_shift,0.05,254004,0.19244672472862498,0.049265116202731093,-0.00604248046875,0.3082902696397569
128,metric_raw,0.05,336710,0.15838439930153508,0.12252766377217061,-0.26861019235439404,0.5435012222884537
128,metric_bias_corrected,0.05,336710,0.1583843982683073,0.12252465914575289,-0.26860967859045254,0.543499570904356
128,metric_scale_shift,0.05,336710,0.39206668664705135,0.016459929637419872,-0.15828102513363487,0.8304087522001606
128,relative_scale_shift,0.05,336710,0.2282543318964106,0.07186135684742648,-0.00897216796875,0.4292621612548828
