pixel_separation,variant,threshold_m,pairs,sign_agreement
8,metric_raw,0.02,138789,0.553415616511395
8,metric_bias_corrected,0.02,138789,0.5533795906015606
8,metric_scale_shift,0.02,138789,0.5392790494923949
8,relative_scale_shift,0.02,138789,0.6418664303366981
8,zero_baseline,0.02,138789,0.0
8,metric_raw,0.05,41822,0.5752235665439243
8,metric_bias_corrected,0.05,41822,0.5751757448232987
8,metric_scale_shift,0.05,41822,0.5551145330208981
8,relative_scale_shift,0.05,41822,0.705035627181866
8,zero_baseline,0.05,41822,0.0
8,metric_raw,0.1,17402,0.5960809102402023
8,metric_bias_corrected,0.1,17402,0.5960809102402023
8,metric_scale_shift,0.1,17402,0.5615446500402252
8,relative_scale_shift,0.1,17402,0.7429605792437651
8,zero_baseline,0.1,17402,0.0
8,metric_raw,0.2,8360,0.6065789473684211
8,metric_bias_corrected,0.2,8360,0.6065789473684211
8,metric_scale_shift,0.2,8360,0.5671052631578948
8,relative_scale_shift,0.2,8360,0.7717703349282297
8,zero_baseline,0.2,8360,0.0
8,metric_raw,0.5,2311,0.6170488965815665
8,metric_bias_corrected,0.5,2311,0.6170488965815665
8,metric_scale_shift,0.5,2311,0.6036347901341411
8,relative_scale_shift,0.5,2311,0.7810471657291216
8,zero_baseline,0.5,2311,0.0
16,metric_raw,0.02,251354,0.5534266413106614
16,metric_bias_corrected,0.02,251354,0.5534186844052611
16,metric_scale_shift,0.02,251354,0.5407274202917002
16,relative_scale_shift,0.02,251354,0.6242709485426928
16,zero_baseline,0.02,251354,0.0
16,metric_raw,0.05,96041,0.5819910246665486
16,metric_bias_corrected,0.05,96041,0.5819806124467676
16,metric_scale_shift,0.05,96041,0.5611561728844973
16,relative_scale_shift,0.05,96041,0.6952655636655178
16,zero_baseline,0.05,96041,0.0
16,metric_raw,0.1,42085,0.6006653201853392
16,metric_bias_corrected,0.1,42085,0.6006415587501485
16,metric_scale_shift,0.1,42085,0.5697992158726387
16,relative_scale_shift,0.1,42085,0.7421884281810621
16,zero_baseline,0.1,42085,0.0
16,metric_raw,0.2,18886,0.6163295562850789
16,metric_bias_corrected,0.2,18886,0.6162766070104839
16,metric_scale_shift,0.2,18886,0.5718521656253309
16,relative_scale_shift,0.2,18886,0.7865614741078047
16,zero_baseline,0.2,18886,0.0
16,metric_raw,0.5,4551,0.6378817842232476
16,metric_bias_corrected,0.5,4551,0.6378817842232476
16,metric_scale_shift,0.5,4551,0.6231597451109646
16,relative_scale_shift,0.5,4551,0.8086134915403208
16,zero_baseline,0.5,4551,0.0
32,metric_raw,0.02,384514,0.5529343534955814
32,metric_bias_corrected,0.02,384514,0.5529317528100407
32,metric_scale_shift,0.02,384514,0.5395278195332289
32,relative_scale_shift,0.02,384514,0.6133118690086707
32,zero_baseline,0.02,384514,0.0
32,metric_raw,0.05,171156,0.5879314777162354
32,metric_bias_corrected,0.05,171156,0.5879314777162354
32,metric_scale_shift,0.05,171156,0.5634801000257076
32,relative_scale_shift,0.05,171156,0.6892951459487251
32,zero_baseline,0.05,171156,0.0
32,metric_raw,0.1,87531,0.6183980532611303
32,metric_bias_corrected,0.1,87531,0.6183980532611303
32,metric_scale_shift,0.1,87531,0.5831191235105277
32,relative_scale_shift,0.1,87531,0.7481349464761056
32,zero_baseline,0.1,87531,0.0
32,metric_raw,0.2,40790,0.6345427800931601
32,metric_bias_corrected,0.2,40790,0.6345427800931601
32,metric_scale_shift,0.2,40790,0.5874969355234126
32,relative_scale_shift,0.2,40790,0.8001716106888943
32,zero_baseline,0.2,40790,0.0
