pixel_separation,variant,threshold_m,pairs,ratio_mean,ratio_median,ratio_p25,ratio_p75
8,metric_raw,0.05,23279,0.0375708535428917,0.014065697079613096,-0.07476826586754493,0.1316098299893466
8,metric_bias_corrected,0.05,23279,0.03757075122082442,0.014067150297619048,-0.07476826586754493,0.13160289417613635
8,metric_scale_shift,0.05,23279,0.0753065309482665,0.0020751953125,-0.12530517578125,0.2591552734375
8,relative_scale_shift,0.05,23279,0.12324389236318947,0.034576416015625,-0.0015869140625,0.17077395790501643
16,metric_raw,0.05,50870,0.07142190311107162,0.029249440068783966,-0.11115332709418402,0.21157684326171874
16,metric_bias_corrected,0.05,50870,0.07142196032532992,0.029241147248641304,-0.11115587022569445,0.21158447265625002
16,metric_scale_shift,0.05,50870,0.14264921817987575,0.004606767134232954,-0.148303894335003,0.37538757324218747
16,relative_scale_shift,0.05,50870,0.16191519219695466,0.04642910427517361,-0.005574544270833333,0.22023773193359375
32,metric_raw,0.05,87045,0.09675506838972997,0.0449676513671875,-0.14912773581112132,0.29344315962357953
32,metric_bias_corrected,0.05,87045,0.09675509603399969,0.04495849609375,-0.14912683823529413,0.29345703125
32,metric_scale_shift,0.05,87045,0.22258268388464728,0.00537109375,-0.15931285511363635,0.4583740234375
32,relative_scale_shift,0.05,87045,0.1864293718495223,0.06189323874080882,-0.009940011160714286,0.2769775390625
64,metric_raw,0.05,128378,0.13655689070323238,0.06436492919921874,-0.19916624181410844,0.3921537399291992
64,metric_bias_corrected,0.05,128378,0.1365568923697239,0.06436920166015625,-0.1991604075712316,0.3921670352711397
64,metric_scale_shift,0.05,128378,0.3228290588006795,0.007855985935848308,-0.16192626953125,0.5842694369229403
64,relative_scale_shift,0.05,128378,0.20516358560108922,0.08154296875,-0.015644618443080356,0.3626353504893544
128,metric_raw,0.05,171266,0.12213538894210293,0.07936668395996094,-0.3165860857282366,0.5244102282401844
128,metric_bias_corrected,0.05,171266,0.12213536342731586,0.07936925391109648,-0.3165871756417411,0.5244095239883815
128,metric_scale_shift,0.05,171266,0.320844317149552,0.01267091166288597,-0.25101318359375,0.7654030539772727
128,relative_scale_shift,0.05,171266,0.22646410640924464,0.1166046142578125,-0.03135550894388338,0.49273812430245534
