pixel_separation,variant,threshold_m,pairs,sign_agreement
8,metric_raw,0.02,73587,0.5453137103020914
8,metric_bias_corrected,0.02,73587,0.54528653158846
8,metric_scale_shift,0.02,73587,0.5276611357984426
8,relative_scale_shift,0.02,73587,0.6513514615353255
8,zero_baseline,0.02,73587,0.0
8,metric_raw,0.05,23279,0.5640276644185747
8,metric_bias_corrected,0.05,23279,0.5639847072468749
8,metric_scale_shift,0.05,23279,0.5381244898835861
8,relative_scale_shift,0.05,23279,0.7257184586966794
8,zero_baseline,0.05,23279,0.0
8,metric_raw,0.1,10121,0.5854164608240292
8,metric_bias_corrected,0.1,10121,0.5854164608240292
8,metric_scale_shift,0.1,10121,0.5424365181306195
8,relative_scale_shift,0.1,10121,0.7685999407173204
8,zero_baseline,0.1,10121,0.0
8,metric_raw,0.2,5770,0.587521663778163
8,metric_bias_corrected,0.2,5770,0.587521663778163
8,metric_scale_shift,0.2,5770,0.540207972270364
8,relative_scale_shift,0.2,5770,0.7753899480069324
8,zero_baseline,0.2,5770,0.0
8,metric_raw,0.5,1970,0.6045685279187817
8,metric_bias_corrected,0.5,1970,0.6045685279187817
8,metric_scale_shift,0.5,1970,0.5908629441624366
8,relative_scale_shift,0.5,1970,0.7700507614213198
8,zero_baseline,0.5,1970,0.0
16,metric_raw,0.02,126317,0.545682687207581
16,metric_bias_corrected,0.02,126317,0.545682687207581
16,metric_scale_shift,0.02,126317,0.5307124140060324
16,relative_scale_shift,0.02,126317,0.6272314890315634
16,zero_baseline,0.02,126317,0.0
16,metric_raw,0.05,50870,0.5735993709455475
16,metric_bias_corrected,0.05,50870,0.5735993709455475
16,metric_scale_shift,0.05,50870,0.547021820326322
16,relative_scale_shift,0.05,50870,0.7065264399449578
16,zero_baseline,0.05,50870,0.0
16,metric_raw,0.1,24189,0.5929968167348795
16,metric_bias_corrected,0.1,24189,0.5929968167348795
16,metric_scale_shift,0.1,24189,0.5542602009177725
16,relative_scale_shift,0.1,24189,0.7581545330522138
16,zero_baseline,0.1,24189,0.0
16,metric_raw,0.2,12856,0.6009645301804605
16,metric_bias_corrected,0.2,12856,0.6009645301804605
16,metric_scale_shift,0.2,12856,0.5441039203484754
16,relative_scale_shift,0.2,12856,0.7934038581207219
16,zero_baseline,0.2,12856,0.0
16,metric_raw,0.5,3880,0.6288659793814433
