target_abs_gt_difference_m,range_lower_m,range_upper_m,variant,pairs,slope,intercept_m,r2,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
0.1,0.08000000000000002,0.12,metric_raw,66283,0.14444401825960554,0.017035230386423992,0.0064037561921111985,0.09740124730323009,0.12465019211542422,0.195564342561344,0.022136968415527657,0.08002347275712955,0.12041274231729121,0.5633269465775538,0.09752977710259297
0.1,0.08000000000000002,0.12,metric_bias_corrected,66283,0.1444440253862079,0.017035231184286063,0.0064037568121596555,0.09740124730323009,0.1246501925542557,0.19556434244684448,0.02213696917089331,0.08002347663129761,0.12041272141481396,0.5633269465775538,0.09752977710259297
0.1,0.08000000000000002,0.12,metric_scale_shift,66283,0.36866046260682733,0.03911934555096866,0.007127437121158042,0.09740124730323009,0.22527097586318737,0.430952045652402,0.04288406579831837,0.08442415010622314,0.1056906992213786,0.5459620113754658,0.09752977710259297
0.1,0.08000000000000002,0.12,relative_scale_shift,66283,0.19391229869914062,-0.0013580740228671655,0.032260905410189555,0.09740124730323009,0.0938823629392826,0.13008382854480074,0.003448681313179025,0.1796132105670107,0.3215959239269085,0.6497593651464176,0.09752977710259297
0.2,0.16000000000000003,0.24,metric_raw,47155,0.14465289543892446,0.01537463383766306,0.01279702455024323,0.19941863932774892,0.2171205053449802,0.30760453242029434,0.023209713306979123,0.1131239344711952,0.16473302331387513,0.5846251723041035,0.20026620083827515
0.2,0.16000000000000003,0.24,metric_bias_corrected,47155,0.14465290083986077,0.015374638922973511,0.012797025316957145,0.19941863932774892,0.21712050024847024,0.3076045336695233,0.02320971834281636,0.11312393786001707,0.16473315758047097,0.5846251723041035,0.20026620083827515
0.2,0.16000000000000003,0.24,metric_scale_shift,47155,0.30195671914966554,0.03180990596883265,0.011629380780951992,0.19941863932774892,0.3167909582148376,0.5760144962187177,0.038204064023872664,0.10783960673589259,0.12616961591845074,0.5542784434312374,0.20026620083827515
0.2,0.16000000000000003,0.24,relative_scale_shift,47155,0.22859161569769695,-0.003573701404166276,0.11915552594387735,0.19941863932774892,0.17596198160743654,0.19842106576946028,0.0034924895749998655,0.3451891162013618,0.42531422415892167,0.7009649029795356,0.20026620083827515
0.5,0.4,0.6,metric_raw,39850,0.09647283634300882,0.017223212832497573,0.019859601979724473,0.4826913425345044,0.47390716220085116,0.5498690455032805,0.03449948544185165,0.1409241000671086,0.22900428936269737,0.6092095357590966,0.4858804703733152
0.5,0.4,0.6,metric_bias_corrected,39850,0.09647282070830811,0.01722321676944112,0.01985959625717837,0.4826913425345044,0.47390716583845455,0.5498690488623039,0.0344994896777451,0.14092407976346136,0.22900419858282522,0.6092095357590966,0.4858804703733152
0.5,0.4,0.6,metric_scale_shift,39850,0.16074300683385542,0.0377285721187311,0.011953168457630281,0.4826913425345044,0.5579261408366702,0.8206048397232809,0.05377593979781664,0.10933054677275807,0.1540181319473079,0.5564366373902133,0.4858804703733152
0.5,0.4,0.6,relative_scale_shift,39850,0.3111059853857871,-0.00830833824629724,0.2868295759111842,0.4826913425345044,0.37479257026011853,0.41094267354723046,0.0048639506168915905,0.5355647261640598,0.6129191479192211,0.8168130489335006,0.4858804703733152
1.0,0.8,1.2,metric_raw,10723,0.11825366152503611,0.032729369190655326,0.061726397247979126,0.9604318695794087,0.8953680486518101,0.9620362528546204,0.011232151087346744,0.24844797694483092,0.31756888323781496,0.6620348782989834,0.9667975510541491
1.0,0.8,1.2,metric_bias_corrected,10723,0.11825366138964091,0.0327293689271445,0.06172639957757953,0.9604318695794087,0.895368049985869,0.9620362485774979,0.011232150820534944,0.24844798163313664,0.3175690942852506,0.6620348782989834,0.9667975510541491
1.0,0.8,1.2,metric_scale_shift,10723,0.28323767394612154,0.11987242512661916,0.056288680070473385,0.9604318695794087,0.9832471304838976,1.3220614137969884,0.10239756259635392,0.23725235524747357,0.30966148632817386,0.6409586869346265,0.9667975510541491
1.0,0.8,1.2,relative_scale_shift,10723,0.26726463150719065,-0.007335857380943998,0.35506694427715246,0.9604318695794087,0.7382907959037026,0.7897762996191374,-0.02520014707648375,0.5958749401318638,0.7086319625886719,0.8796978457521216,0.9667975510541491
