view_type,images,metric,mean,median,std,min,max
nadir,16,mae_m,10.953138097359082,10.698508945347651,1.2248297946117939,9.354007983302852,12.921889452605514
nadir,16,rmse_m,10.966369386628733,10.70874926274286,1.2199360133212491,9.359484664460908,12.923181250876263
nadir,16,absrel,0.6541091715560063,0.6551082210095409,0.03169559839709258,0.6014636473464938,0.7155422871790305
nadir,16,bias_m,-10.953138097359082,-10.698508945347651,1.2248297946117939,-12.921889452605514,-9.354007983302852
nadir,16,median_abs_error_m,11.022709295153618,10.765065908432007,1.2324044011812811,9.425023555755615,12.947962760925293
nadir,16,delta_1_25,7.630095826822319e-07,6.463139994484787e-07,7.64217238843772e-07,0.0,2.1065048870913382e-06
nadir,16,delta_1_25_2,2.8575456920060058e-06,2.6810062199344303e-06,1.4352275158027626e-06,1.0532524435456691e-06,6.750390660906333e-06
nadir,16,delta_1_25_3,0.001167036621587462,6.080139105922725e-06,0.004348437192466735,2.728881331004688e-06,0.018000419385972976
nadir,16,valid_pixels,20887680.0,20887680.0,0.0,20887680.0,20887680.0
oblique,16,mae_m,16.95948159666604,17.70012302576341,2.806369633394893,12.441002448093622,22.347098819651222
oblique,16,rmse_m,17.922559489837735,18.767139262944603,3.0765261097051044,13.107778705923126,24.164507249444902
oblique,16,absrel,0.6475845935497242,0.650724133152363,0.05688730187604573,0.5303067442742473,0.7644900706414647
oblique,16,bias_m,-16.95948159666604,-17.70012302576341,2.806369633394893,-22.347098819651222,-12.441002448093622
oblique,16,median_abs_error_m,14.945195242762566,15.35563588142395,2.495161313395293,10.495657444000244,19.53537940979004
oblique,16,delta_1_25,0.0,0.0,0.0,0.0,0.0
oblique,16,delta_1_25_2,2.0422575405025936e-05,0.0,7.046981484264418e-05,0.0,0.0002913313344061923
oblique,16,delta_1_25_3,0.018008160889947403,0.00016369232520980362,0.05015070352558819,0.0,0.2100175751552255
oblique,16,valid_pixels,20781546.9375,20802434.5,118962.87194250395,20521607.0,20886871.0
