scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision,mae_m,rmse_m,absrel,bias_m,median_abs_error_m,delta_1_25,delta_1_25_2,delta_1_25_3,valid_pixels,prediction_path
2025/Day001_Wheat,2025,Day001,wheat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999870190847487,5280,3956,1_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\1.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/1.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/1_depth.tif,main,10.175941068334451,10.18398303195842,0.6648333233630415,-10.175941068334451,10.101806163787842,4.3087599963231914e-07,2.3937555535128843e-06,1.096340043508901e-05,20887680,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\1\1_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,43.JPG,43,DJI Mavic 3M RGB camera,nadir,nadir,0.9999036072131963,5280,3956,43_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\43.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\43_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/43.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/43_depth.tif,main,9.705989216310076,9.713511005921772,0.6524151178151351,-9.705988202014321,9.749603509902954,2.853356892996914e-05,8.631883352472209e-05,0.0004630481186084925,20887678,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\43\43_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,85.JPG,85,DJI Mavic 3M RGB camera,nadir,nadir,0.9999854698430397,5280,3956,85_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\85.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\85_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/85.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/85_depth.tif,main,9.427896533566896,9.430332772063734,0.6386008102951705,-9.427896533566896,9.436087131500244,1.0532527965178313e-06,2.728882245523472e-06,7.564270084082607e-06,20887673,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\85\85_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,127.JPG,127,DJI Mavic 3M RGB camera,nadir,nadir,0.9999789990409258,5280,3956,127_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\127.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\127_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/127.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/127_depth.tif,main,9.89136519606385,9.893456213089218,0.665402767627546,-9.89136519606385,9.923543453216553,7.181266660538653e-07,3.6863835524098416e-06,3.126244752887827e-05,20887680,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\127\127_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,169.JPG,169,DJI Mavic 3M RGB camera,nadir,nadir,0.9999973586936671,5280,3956,169_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\169.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\169_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/169.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/169_depth.tif,main,9.927539190416724,9.932151733431432,0.668789979809939,-9.927539190416724,9.948713302612305,1.1011275546159267e-06,2.9203817752857187e-06,1.1298526212580814e-05,20887680,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\169\169_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,447.JPG,447,DJI Mavic 3M RGB camera,nadir,nadir,0.9999759613078372,5280,3956,447_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\447.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\447_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/447.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/447_depth.tif,main,8.76944116508527,8.784062752004543,0.5858205351954378,-8.76944116508527,8.747103691101074,1.5320035542482458e-06,3.3991328859882956e-06,1.0676149768667463e-05,20887680,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\447\447_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,489.JPG,489,DJI Mavic 3M RGB camera,nadir,nadir,0.9999822511335054,5280,3956,489_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\489.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\489_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/489.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/489_depth.tif,main,9.107034148247223,9.117213861454463,0.6161365797887354,-9.107034148247223,9.073358535766602,1.4841285142308057e-06,3.3512579353598835e-06,8.330269725037425e-06,20887679,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\489\489_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,531.JPG,531,DJI Mavic 3M RGB camera,nadir,nadir,0.9999865708201892,5280,3956,531_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\531.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\531_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/531.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/531_depth.tif,main,9.082146483186941,9.106856402871147,0.6139157894606259,-9.082136553695335,9.157397747039795,6.702515549836076e-06,0.005752338220424672,0.014552741137359439,20887680,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\531\531_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,573.JPG,573,DJI Mavic 3M RGB camera,nadir,nadir,0.9999792549862315,5280,3956,573_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\573.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\573_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/573.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/573_depth.tif,main,9.026118646336599,9.032624207867507,0.6096248240803932,-9.026118646336599,9.043972969055176,1.5320035542482458e-06,3.5906333302693264e-06,7.5642675491007136e-06,20887680,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\573\573_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,616.JPG,616,DJI Mavic 3M RGB camera,nadir,nadir,0.9999911307561199,5280,3956,616_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\616.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\616_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/616.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/616_depth.tif,main,9.017415981350005,9.025877884858586,0.6026002958832627,-9.017415981350005,9.089867115020752,7.181266660538653e-07,2.3458804424426267e-06,5.17051199558783e-06,20887680,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\nadir\616\616_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,182.JPG,182,DJI Mavic 3M RGB camera,oblique,oblique,0.7033511780111273,5280,3956,182_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\182.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\182_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/182.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/182_depth.tif,main,16.01916612608776,17.27225273029531,0.6749292928717887,-16.01916612608776,13.974698066711426,0.0,0.0,0.0,20885713,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\oblique\182\182_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,240.JPG,240,DJI Mavic 3M RGB camera,oblique,oblique,0.7075718208125407,5280,3956,240_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\240.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\240_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/240.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/240_depth.tif,main,15.386993228349718,16.194837269569014,0.6582216477141888,-15.386993228349718,14.15174150466919,0.0,0.0,0.0,20435459,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\oblique\240\240_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,298.JPG,298,DJI Mavic 3M RGB camera,oblique,oblique,0.7061234622354156,5280,3956,298_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\298.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\298_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/298.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/298_depth.tif,main,17.042039979282453,18.21150643563213,0.7210223412439023,-17.042039979282453,14.459397554397583,0.0,0.0,0.0,20887676,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\oblique\298\298_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,357.JPG,357,DJI Mavic 3M RGB camera,oblique,oblique,0.704063446389367,5280,3956,357_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\357.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\357_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/357.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/357_depth.tif,main,14.743864873232008,15.580628767585196,0.6184737638723051,-14.743864873232008,13.200098991394043,0.0,0.0,0.0003482266082378838,20885825,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\oblique\357\357_metric_depth_m.npy
2025/Day001_Wheat,2025,Day001,wheat,415.JPG,415,DJI Mavic 3M RGB camera,oblique,oblique,0.7052316183673132,5280,3956,415_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\415.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\415_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/415.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/415_depth.tif,main,16.700669288594316,18.08688956281686,0.7019212971736712,-16.700669288594316,14.360253810882568,0.0,0.0,0.0,20885248,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\outputs\uav3dcrop\2025_Day001_Wheat\oblique\415\415_metric_depth_m.npy
