scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision,sample_stride,corresponding_points,mean_3d_error_m,median_3d_error_m,rmse_3d_error_m,p95_3d_error_m,distortion_correction,world_transform
2025/Day001_Wheat,2025,Day001,wheat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999870190847487,5280,3956,1_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\1.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/1.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/1_depth.tif,main,32,20460,11.513177928842865,11.38065739032713,11.551573780486759,13.191235784197556,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,43.JPG,43,DJI Mavic 3M RGB camera,nadir,nadir,0.9999036072131963,5280,3956,43_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\43.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\43_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/43.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/43_depth.tif,main,32,20460,10.969162756999749,10.909722648272504,10.994605009371917,12.337839466910461,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,85.JPG,85,DJI Mavic 3M RGB camera,nadir,nadir,0.9999854698430397,5280,3956,85_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\85.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\85_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/85.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/85_depth.tif,main,32,20460,10.664498015039024,10.62580067611121,10.687709905528573,11.883903020039739,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,127.JPG,127,DJI Mavic 3M RGB camera,nadir,nadir,0.9999789990409258,5280,3956,127_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\127.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\127_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/127.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/127_depth.tif,main,32,20460,11.19007144128505,11.114378166960494,11.217380220035054,12.554638630963355,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,169.JPG,169,DJI Mavic 3M RGB camera,nadir,nadir,0.9999973586936671,5280,3956,169_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\169.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\169_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/169.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/169_depth.tif,main,32,20460,11.226949269665436,11.103215737395313,11.255187541067656,12.745321185937502,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,447.JPG,447,DJI Mavic 3M RGB camera,nadir,nadir,0.9999759613078372,5280,3956,447_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\447.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\447_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/447.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/447_depth.tif,main,32,20460,9.94036399681085,9.794883852450479,10.001109012609154,11.971078549061458,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,489.JPG,489,DJI Mavic 3M RGB camera,nadir,nadir,0.9999822511335054,5280,3956,489_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\489.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\489_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/489.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/489_depth.tif,main,32,20460,10.312051443815655,10.17295165386792,10.358127560213127,12.170284635742183,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,531.JPG,531,DJI Mavic 3M RGB camera,nadir,nadir,0.9999865708201892,5280,3956,531_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\531.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\531_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/531.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/531_depth.tif,main,32,20460,10.28062430327857,10.075993834234382,10.33964124114544,12.321515031076395,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,573.JPG,573,DJI Mavic 3M RGB camera,nadir,nadir,0.9999792549862315,5280,3956,573_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\573.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\573_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/573.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/573_depth.tif,main,32,20460,10.22826171573251,10.13653839172962,10.274224260574417,11.941097665905106,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
2025/Day001_Wheat,2025,Day001,wheat,616.JPG,616,DJI Mavic 3M RGB camera,nadir,nadir,0.9999911307561199,5280,3956,616_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\616.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\616_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/616.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/616_depth.tif,main,32,20460,10.217399320452648,10.083845707107448,10.262454017346217,11.9427859218589,"cv2.undistortPoints with OPENCV k1,k2,p1,p2,k3","camera OpenCV x-right/y-down/z-forward converted to Nerfstudio x-right/y-up/z-back, then transforms.json camera-to-world"
