group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,scene
2025/Day001_Wheat,8,metric_raw,400000,0.01454025390625,0.01884168808877468,0.0471207266092537,0.0005077100390195846,0.03361928222429659,0.06615569681650102,0.53198545553751,0.039826833542004426,2025/Day001_Wheat
2025/Day001_Wheat,8,metric_bias_corrected,400000,0.01454025390625,0.018841687653064727,0.0471207260300884,0.0005077083468437195,0.033619297115039026,0.06615567971374724,0.5319726673231283,0.039826833542004426,2025/Day001_Wheat
2025/Day001_Wheat,8,metric_scale_shift,400000,0.01454025390625,0.02932558845281601,0.0882959540027997,0.0006030925011634826,0.03481537987280071,0.05039275461948115,0.5248581573888171,0.039826833542004426,2025/Day001_Wheat
2025/Day001_Wheat,8,relative_scale_shift,400000,0.01454025390625,0.01513478349685669,0.03920279029255528,0.00014304640769958497,0.1829305088264695,0.14985398753028695,0.5573487473944013,0.039826833542004426,2025/Day001_Wheat
2025/Day001_Wheat,16,metric_raw,400000,0.02528939453125,0.03180681661486626,0.07095435476311535,0.0013596665728092194,0.05299476756760404,0.08848226275705255,0.5360499969414595,0.057120596697943685,2025/Day001_Wheat
2025/Day001_Wheat,16,metric_bias_corrected,400000,0.02528939453125,0.03180681881189346,0.0709543543086952,0.0013596654963493348,0.05299476200659904,0.08848213205324816,0.536039801806578,0.057120596697943685,2025/Day001_Wheat
2025/Day001_Wheat,16,metric_scale_shift,400000,0.02528939453125,0.050836844952106476,0.15091383495643437,0.001519459412097931,0.04989770499007854,0.0661379281053153,0.5272923760781355,0.057120596697943685,2025/Day001_Wheat
2025/Day001_Wheat,16,relative_scale_shift,400000,0.02528939453125,0.025670801424980162,0.05547758768689834,0.0004586545753479004,0.24770898339227937,0.18802096569353188,0.5632574135622481,0.057120596697943685,2025/Day001_Wheat
2025/Day001_Wheat,32,metric_raw,400000,0.04068388671875,0.05080319823861122,0.10796985399306872,0.00247709424495697,0.0805227625861623,0.12692133595440813,0.5467443497916396,0.08145379241992132,2025/Day001_Wheat
2025/Day001_Wheat,32,metric_bias_corrected,400000,0.04068388671875,0.05080319947481155,0.10796985770076134,0.002477094533443451,0.08052272465502601,0.12692129031608104,0.5467383059800494,0.08145379241992132,2025/Day001_Wheat
2025/Day001_Wheat,32,metric_scale_shift,400000,0.04068388671875,0.08434417020320892,0.2355552586705892,0.0025285285806655885,0.07812402831502571,0.09739084060359024,0.5353003925455628,0.08145379241992132,2025/Day001_Wheat
2025/Day001_Wheat,32,relative_scale_shift,400000,0.04068388671875,0.04022087930679321,0.0772418110557577,0.0008821765184402466,0.3259413811578269,0.23933532996410897,0.5756307472870841,0.08145379241992132,2025/Day001_Wheat
2025/Day001_Wheat,64,metric_raw,400000,0.0596951953125,0.07580470904350281,0.16393630388596173,0.005322013586759568,0.111851242462217,0.17761128965490164,0.5605340176510831,0.11134478546868783,2025/Day001_Wheat
2025/Day001_Wheat,64,metric_bias_corrected,400000,0.0596951953125,0.07580470997571945,0.16393630463121375,0.005322014043331146,0.11185125745926225,0.17761133835728896,0.5605198241136845,0.11134478546868783,2025/Day001_Wheat
2025/Day001_Wheat,64,metric_scale_shift,400000,0.0596951953125,0.13534599133491515,0.3839777491968615,0.004895503911972046,0.11488873120730775,0.13562123961845984,0.5449324813425951,0.11134478546868783,2025/Day001_Wheat
2025/Day001_Wheat,64,relative_scale_shift,400000,0.0596951953125,0.05759950402498245,0.10236631272439628,0.002149983456134796,0.40512765328540556,0.30584247888590566,0.5962194093785218,0.11134478546868783,2025/Day001_Wheat
2025/Day001_Wheat,128,metric_raw,400000,0.0827941015625,0.10974668563067913,0.24565148990183888,0.010237494582533837,0.13625473802945542,0.22241248687498813,0.5737581754700383,0.14763373217638656,2025/Day001_Wheat
2025/Day001_Wheat,128,metric_bias_corrected,400000,0.0827941015625,0.10974668571233749,0.2456514904424906,0.010237493875026702,0.13625474339608182,0.22241249385422782,0.5737581754700383,0.14763373217638656,2025/Day001_Wheat
2025/Day001_Wheat,128,metric_scale_shift,400000,0.0827941015625,0.21280759091854096,0.6083494665985456,0.010029116091728211,0.13663189157268343,0.16530527778545342,0.5553036056759755,0.14763373217638656,2025/Day001_Wheat
2025/Day001_Wheat,128,relative_scale_shift,400000,0.0827941015625,0.0787049917435646,0.1338667137291499,0.0033395211243629455,0.44912680241616376,0.3697545410089642,0.617325166514586,0.14763373217638656,2025/Day001_Wheat
