pixel_separation,variant,threshold_m,pairs,ratio_mean,ratio_median,ratio_p25,ratio_p75
8,metric_raw,0.05,19066,0.02814076907016118,0.018816143533457882,-0.04867219924926758,0.09305381774902344
8,metric_bias_corrected,0.05,19066,0.028140715340443045,0.018821207682291667,-0.048677716936383925,0.093048095703125
8,metric_scale_shift,0.05,19066,0.09195446040653857,0.005632188585069444,-0.1329738071986607,0.2720222473144531
8,relative_scale_shift,0.05,19066,0.049803628350943964,0.00848388671875,-0.0042724609375,0.055822753906249994
16,metric_raw,0.05,44402,0.0581642268985303,0.03582411545973557,-0.07926915486653646,0.1674369812011719
16,metric_bias_corrected,0.05,44402,0.05816421009161144,0.03582763671875,-0.07926788330078124,0.16744666466346153
16,metric_scale_shift,0.05,44402,0.17997136024718524,0.008265904017857142,-0.17000377879423254,0.40828704833984375
16,relative_scale_shift,0.05,44402,0.08400667711678271,0.01472918192545573,-0.00341796875,0.099822998046875
32,metric_raw,0.05,83961,0.09248417677576055,0.0643157958984375,-0.11771065848214286,0.26305213341346156
32,metric_bias_corrected,0.05,83961,0.09248414680315498,0.06432291666666666,-0.1177099609375,0.26305213341346156
32,metric_scale_shift,0.05,83961,0.2406174797910933,0.009835379464285714,-0.147705078125,0.53179931640625
32,relative_scale_shift,0.05,83961,0.1295789488315297,0.019805908203125,-0.0020577566964285715,0.165924072265625
64,metric_raw,0.05,125477,0.13939054824088296,0.10769098455255682,-0.16396331787109375,0.3890635172526042
64,metric_bias_corrected,0.05,125477,0.13939055663579114,0.10768821022727272,-0.1639404296875,0.3890584309895833
64,metric_scale_shift,0.05,125477,0.36401542856608443,0.012276785714285714,-0.08665248325892858,0.6877848307291666
64,relative_scale_shift,0.05,125477,0.1762880039428488,0.025960286458333332,-0.0018819173177083333,0.246826171875
128,metric_raw,0.05,166091,0.18873851885663626,0.16416713169642858,-0.22914813813709078,0.5526568244485295
128,metric_bias_corrected,0.05,166091,0.188738532654844,0.16416713169642858,-0.22914559500558035,0.5526568244485295
128,metric_scale_shift,0.05,166091,0.43401609449499456,0.017791748046875,-0.0905422634548611,0.8658554109137513
128,relative_scale_shift,0.05,166091,0.23295054268056894,0.039459228515625,-0.0022723858173076925,0.3474168043870192
