pixel_separation,variant,threshold_m,pairs,sign_agreement
8,metric_raw,0.02,65150,0.5646047582501919
8,metric_bias_corrected,0.02,65150,0.5645740598618573
8,metric_scale_shift,0.02,65150,0.5549654643131235
8,relative_scale_shift,0.02,65150,0.6344282425172678
8,zero_baseline,0.02,65150,0.0
8,metric_raw,0.05,19066,0.5840239169201721
8,metric_bias_corrected,0.05,19066,0.5839714675338299
8,metric_scale_shift,0.05,19066,0.5733766914927095
8,relative_scale_shift,0.05,19066,0.6751285009965383
8,zero_baseline,0.05,19066,0.0
8,metric_raw,0.1,7506,0.6116440181188383
8,metric_bias_corrected,0.1,7506,0.6116440181188383
8,metric_scale_shift,0.1,7506,0.5957900346389555
8,relative_scale_shift,0.1,7506,0.711697308819611
8,zero_baseline,0.1,7506,0.0
8,metric_raw,0.2,2751,0.6539440203562341
8,metric_bias_corrected,0.2,2751,0.6539440203562341
8,metric_scale_shift,0.2,2751,0.6390403489640131
8,relative_scale_shift,0.2,2751,0.7531806615776081
8,zero_baseline,0.2,2751,0.0
8,metric_raw,0.5,361,0.7645429362880887
8,metric_bias_corrected,0.5,361,0.7645429362880887
8,metric_scale_shift,0.5,361,0.7645429362880887
8,relative_scale_shift,0.5,361,0.8559556786703602
8,zero_baseline,0.5,361,0.0
16,metric_raw,0.02,124723,0.5619653151383466
16,metric_bias_corrected,0.02,124723,0.5619653151383466
16,metric_scale_shift,0.02,124723,0.5506522453757526
16,relative_scale_shift,0.02,124723,0.6222749613142724
16,zero_baseline,0.02,124723,0.0
16,metric_raw,0.05,44402,0.5939822530516643
16,metric_bias_corrected,0.05,44402,0.5939822530516643
16,metric_scale_shift,0.05,44402,0.5803792621953966
16,relative_scale_shift,0.05,44402,0.6824917796495653
16,zero_baseline,0.05,44402,0.0
16,metric_raw,0.1,17607,0.620775827795763
16,metric_bias_corrected,0.1,17607,0.620775827795763
16,metric_scale_shift,0.1,17607,0.5976600215823252
16,relative_scale_shift,0.1,17607,0.7214744135855058
16,zero_baseline,0.1,17607,0.0
16,metric_raw,0.2,5871,0.656957928802589
16,metric_bias_corrected,0.2,5871,0.656957928802589
16,metric_scale_shift,0.2,5871,0.6331119059785386
16,relative_scale_shift,0.2,5871,0.7772100153295861
16,zero_baseline,0.2,5871,0.0
16,metric_raw,0.5,666,0.6966966966966966
16,metric_bias_corrected,0.5,666,0.6966966966966966
16,metric_scale_shift,0.5,666,0.6966966966966966
16,relative_scale_shift,0.5,666,0.8663663663663663
16,zero_baseline,0.5,666,0.0
32,metric_raw,0.02,190230,0.568333070493613
32,metric_bias_corrected,0.02,190230,0.5683278136992063
32,metric_scale_shift,0.02,190230,0.5552278820375335
32,relative_scale_shift,0.02,190230,0.6205277821584397
32,zero_baseline,0.02,190230,0.0
32,metric_raw,0.05,83961,0.6060313717082931
32,metric_bias_corrected,0.05,83961,0.6060313717082931
32,metric_scale_shift,0.05,83961,0.5906432748538012
32,relative_scale_shift,0.05,83961,0.6888436297804933
32,zero_baseline,0.05,83961,0.0
32,metric_raw,0.1,38240,0.6459205020920502
32,metric_bias_corrected,0.1,38240,0.6459205020920502
32,metric_scale_shift,0.1,38240,0.6233786610878661
32,relative_scale_shift,0.1,38240,0.7482217573221758
32,zero_baseline,0.1,38240,0.0
32,metric_raw,0.2,12646,0.7005377194369761
32,metric_bias_corrected,0.2,12646,0.7005377194369761
32,metric_scale_shift,0.2,12646,0.6704886920765459
32,relative_scale_shift,0.2,12646,0.8240550371659022
32,zero_baseline,0.2,12646,0.0
32,metric_raw,0.5,1434,0.7601115760111576
32,metric_bias_corrected,0.5,1434,0.7601115760111576
32,metric_scale_shift,0.5,1434,0.7601115760111576
32,relative_scale_shift,0.5,1434,0.903068340306834
32,zero_baseline,0.5,1434,0.0
64,metric_raw,0.02,239867,0.5821142549829698
64,metric_bias_corrected,0.02,239867,0.5820975790750708
64,metric_scale_shift,0.02,239867,0.5632746480341189
64,relative_scale_shift,0.02,239867,0.6338137384467225
64,zero_baseline,0.02,239867,0.0
64,metric_raw,0.05,125477,0.6175633781489834
64,metric_bias_corrected,0.05,125477,0.6175474389728794
64,metric_scale_shift,0.05,125477,0.5974879858460116
64,relative_scale_shift,0.05,125477,0.6997059222008815
64,zero_baseline,0.05,125477,0.0
64,metric_raw,0.1,64693,0.6652806331442351
64,metric_bias_corrected,0.1,64693,0.6652651755213084
64,metric_scale_shift,0.1,64693,0.6395282333482757
64,relative_scale_shift,0.1,64693,0.7660179617578409
64,zero_baseline,0.1,64693,0.0
64,metric_raw,0.2,26265,0.7395012373881591
64,metric_bias_corrected,0.2,26265,0.7395012373881591
64,metric_scale_shift,0.2,26265,0.7056919855320769
64,relative_scale_shift,0.2,26265,0.861717114030078
64,zero_baseline,0.2,26265,0.0
64,metric_raw,0.5,3181,0.7745991826469664
64,metric_bias_corrected,0.5,3181,0.7745991826469664
64,metric_scale_shift,0.5,3181,0.7745991826469664
64,relative_scale_shift,0.5,3181,0.9317824583464319
64,zero_baseline,0.5,3181,0.0
128,metric_raw,0.02,277098,0.5925268316624444
128,metric_bias_corrected,0.02,277098,0.5925268316624444
128,metric_scale_shift,0.02,277098,0.5700871171931952
128,relative_scale_shift,0.02,277098,0.6492504456906942
128,zero_baseline,0.02,277098,0.0
128,metric_raw,0.05,166091,0.6270237399979529
128,metric_bias_corrected,0.05,166091,0.6270237399979529
128,metric_scale_shift,0.05,166091,0.6028923903161519
128,relative_scale_shift,0.05,166091,0.7138315742574853
128,zero_baseline,0.05,166091,0.0
128,metric_raw,0.1,94037,0.6807107840530855
128,metric_bias_corrected,0.1,94037,0.6807107840530855
128,metric_scale_shift,0.1,94037,0.6475536225102885
128,relative_scale_shift,0.1,94037,0.7855631294065102
128,zero_baseline,0.1,94037,0.0
128,metric_raw,0.2,45065,0.7619438588705204
128,metric_bias_corrected,0.2,45065,0.7619438588705204
128,metric_scale_shift,0.2,45065,0.7232220126483968
128,relative_scale_shift,0.2,45065,0.8805946965494286
128,zero_baseline,0.2,45065,0.0
128,metric_raw,0.5,7081,0.7544132184719672
128,metric_bias_corrected,0.5,7081,0.7544132184719672
128,metric_scale_shift,0.5,7081,0.7544132184719672
128,relative_scale_shift,0.5,7081,0.9309419573506567
128,zero_baseline,0.5,7081,0.0
