scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision,valid_pixels,raw_mae_m,raw_rmse_m,raw_absrel,global_bias_m,corrected_mae_m,corrected_rmse_m,scale_shift_scale,scale_shift_shift_m,scale_shift_mae_m,scale_shift_rmse_m,scale_shift_absrel,relative_orientation,relative_scale_shift_scale,relative_scale_shift_shift_m,relative_aligned_mae_m,relative_aligned_rmse_m,relative_aligned_absrel
2025/Day001_Wheat,2025,Day001,wheat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999870190847487,5280,3956,1_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\1.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/1.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/1_depth.tif,main,20887680,10.175941068334451,10.18398303195842,0.6648333233630415,-10.101806163787842,0.3189270794391632,0.41137537360191345,0.06927363054800174,14.951099868937247,0.09374645352363586,0.11860150098800659,0.00612254161387682,inverse_depth; negated before z-depth alignment,-0.16600642393811663,14.90201057904757,0.06453844904899597,0.08267755061388016,0.0042099179700016975
2025/Day001_Wheat,2025,Day001,wheat,43.JPG,43,DJI Mavic 3M RGB camera,nadir,nadir,0.9999036072131963,5280,3956,43_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\43.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\43_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/43.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/43_depth.tif,main,20887678,9.705989216310076,9.713511005921772,0.6524151178151351,-9.749603509902954,0.282568097114563,0.38469645380973816,-0.017403739204424725,14.966195728321358,0.07246161997318268,0.09631400555372238,0.004880600608885288,inverse_depth; negated before z-depth alignment,0.03462668867823814,14.996703553275191,0.07337719947099686,0.09481977671384811,0.00494297593832016
2025/Day001_Wheat,2025,Day001,wheat,85.JPG,85,DJI Mavic 3M RGB camera,nadir,nadir,0.9999854698430397,5280,3956,85_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\85.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\85_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/85.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/85_depth.tif,main,20887673,9.427896533566896,9.430332772063734,0.6386008102951705,-9.436087131500244,0.17121636867523193,0.21449993550777435,0.15510976733134701,13.936303594121005,0.07172258198261261,0.09205847233533859,0.004871089477092028,inverse_depth; negated before z-depth alignment,0.11078366908737174,15.094319977452644,0.07389015704393387,0.09495220333337784,0.005016456823796034
2025/Day001_Wheat,2025,Day001,wheat,127.JPG,127,DJI Mavic 3M RGB camera,nadir,nadir,0.9999789990409258,5280,3956,127_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\127.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\127_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/127.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/127_depth.tif,main,20887680,9.89136519606385,9.893456213089218,0.665402767627546,-9.923543453216553,0.1400614082813263,0.20592685043811798,0.21809444369145722,13.78062241183984,0.10268121212720871,0.128049835562706,0.0069188317283988,inverse_depth; negated before z-depth alignment,0.014796168517039595,14.91162294200542,0.10566405951976776,0.1355060338973999,0.007118890527635813
2025/Day001_Wheat,2025,Day001,wheat,169.JPG,169,DJI Mavic 3M RGB camera,nadir,nadir,0.9999973586936671,5280,3956,169_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\169.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\169_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/169.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/169_depth.tif,main,20887680,9.927539190416724,9.932151733431432,0.668789979809939,-9.948713302612305,0.2397262156009674,0.30340075492858887,-0.02852237172028779,14.984001146148879,0.03779720142483711,0.05536138638854027,0.0025522622745484114,inverse_depth; negated before z-depth alignment,-0.002762813896679515,14.836076167512653,0.03832845017313957,0.05593688040971756,0.0025883293710649014
2025/Day001_Wheat,2025,Day001,wheat,447.JPG,447,DJI Mavic 3M RGB camera,nadir,nadir,0.9999759613078372,5280,3956,447_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\447.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\447_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/447.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/447_depth.tif,main,20887680,8.76944116508527,8.784062752004543,0.5858205351954378,-8.747103691101074,0.4299187958240509,0.5071085095405579,0.07473173388046078,14.507715299398344,0.10424008220434189,0.14609135687351227,0.00701308436691761,inverse_depth; negated before z-depth alignment,0.062774814311901,15.11152832020521,0.10630881786346436,0.14284493029117584,0.007146292366087437
2025/Day001_Wheat,2025,Day001,wheat,489.JPG,489,DJI Mavic 3M RGB camera,nadir,nadir,0.9999822511335054,5280,3956,489_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\489.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\489_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/489.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/489_depth.tif,main,20887679,9.107034148247223,9.117213861454463,0.6161365797887354,-9.073358535766602,0.3655545115470886,0.4320320188999176,0.024410479462910094,14.642587807301794,0.08306732028722763,0.103136345744133,0.005631857551634312,inverse_depth; negated before z-depth alignment,0.011450266375337442,14.813168163183038,0.08320198208093643,0.10342580825090408,0.005641269031912088
2025/Day001_Wheat,2025,Day001,wheat,531.JPG,531,DJI Mavic 3M RGB camera,nadir,nadir,0.9999865708201892,5280,3956,531_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\531.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\531_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/531.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/531_depth.tif,main,20887680,9.082146483186941,9.106856402871147,0.6139157894606259,-9.157397747039795,0.4590310752391815,0.6747543811798096,0.022226477652888984,14.667547547710116,0.08389655500650406,0.10631288588047028,0.005687668453902006,inverse_depth; negated before z-depth alignment,0.0114867550815176,14.826654731057628,0.08441072702407837,0.10710624605417252,0.005722898058593273
2025/Day001_Wheat,2025,Day001,wheat,573.JPG,573,DJI Mavic 3M RGB camera,nadir,nadir,0.9999792549862315,5280,3956,573_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\573.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\573_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/573.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/573_depth.tif,main,20887680,9.026118646336599,9.032624207867507,0.6096248240803932,-9.043972969055176,0.27191996574401855,0.3432215750217438,0.09243696242899505,14.272593828448313,0.055659130215644836,0.07479266077280045,0.003768400987610221,inverse_depth; negated before z-depth alignment,0.09931897478709892,15.035977172032108,0.04680508002638817,0.06511847674846649,0.003169688396155834
2025/Day001_Wheat,2025,Day001,wheat,616.JPG,616,DJI Mavic 3M RGB camera,nadir,nadir,0.9999911307561199,5280,3956,616_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\616.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\616_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/616.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/616_depth.tif,main,20887680,9.017415981350005,9.025877884858586,0.6026002958832627,-9.089867115020752,0.28368687629699707,0.3974037170410156,-0.06704074872404434,15.361248704137063,0.05349297448992729,0.07842656970024109,0.0035834696609526873,inverse_depth; negated before z-depth alignment,0.12647561845608435,15.240536346024143,0.04625634104013443,0.06751315295696259,0.0031001530587673187
