scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,29.JPG,29,DJI Mavic 3M RGB camera,nadir,nadir,0.9999915503991843,5280,3956,29_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\29.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\29_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/29.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/29_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,58.JPG,58,DJI Mavic 3M RGB camera,nadir,nadir,0.9999859307819823,5280,3956,58_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\58.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\58_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/58.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/58_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,87.JPG,87,DJI Mavic 3M RGB camera,nadir,nadir,0.9999919169704282,5280,3956,87_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\87.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\87_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/87.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/87_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,358.JPG,358,DJI Mavic 3M RGB camera,nadir,nadir,0.9999615547999979,5280,3956,358_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\358.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\358_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/358.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/358_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,387.JPG,387,DJI Mavic 3M RGB camera,nadir,nadir,0.9999937964863553,5280,3956,387_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\387.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\387_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/387.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/387_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,416.JPG,416,DJI Mavic 3M RGB camera,nadir,nadir,0.9999649198832232,5280,3956,416_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\416.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\416_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/416.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/416_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,445.JPG,445,DJI Mavic 3M RGB camera,nadir,nadir,0.9999606054532906,5280,3956,445_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\445.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\445_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/445.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/445_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,96.JPG,96,DJI Mavic 3M RGB camera,oblique,oblique,0.7043685218326969,5280,3956,96_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\96.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\96_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/96.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/96_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,166.JPG,166,DJI Mavic 3M RGB camera,oblique,oblique,0.7105216300603896,5280,3956,166_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\166.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\166_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/166.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/166_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,237.JPG,237,DJI Mavic 3M RGB camera,oblique,oblique,0.7067726276480871,5280,3956,237_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\237.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\237_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/237.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/237_depth.tif?download=true,main
2025/Day001_Oat,2025,Day001,oat,308.JPG,308,DJI Mavic 3M RGB camera,oblique,oblique,0.7074544938563304,5280,3956,308_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\308.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\308_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/308.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/308_depth.tif?download=true,main
